,open,high,low,close,adjclose,volume,ticker,macd,macds,macdh,close_-1_s,tr,atr,close_10_sma,close_50_sma,dma
2005-01-03,4260.919921875,4310.2998046875,4251.3701171875,4291.52978515625,4291.52978515625,75848400.0,^GDAXI,0.0,0.0,0.0,,,,4291.52978515625,4291.52978515625,0.0
2005-01-04,4281.6298828125,4306.68994140625,4276.5498046875,4290.5,4290.5,90132800.0,^GDAXI,-0.023104154146494693,-0.012835641192497051,-0.010268512953997642,4291.52978515625,30.14013671875,30.14013671875,4291.014892578125,4291.014892578125,0.0
2005-01-05,4262.2099609375,4274.64990234375,4242.06982421875,4258.240234375,4258.240234375,96055000.0,^GDAXI,-1.0298126799643796,-0.42962950954162915,-0.6001831704227505,4290.5,48.43017578125,39.623860677083336,4280.090006510417,4280.090006510417,0.0
2005-01-06,4260.3701171875,4300.990234375,4260.3701171875,4300.93994140625,4300.93994140625,89752200.0,^GDAXI,0.07921130045633618,-0.2572579614393374,0.33646926189567355,4258.240234375,42.75,40.74401297560558,4285.302490234375,4285.302490234375,0.0
2005-01-07,4297.990234375,4325.77001953125,4288.259765625,4316.39990234375,4316.39990234375,98291600.0,^GDAXI,1.2953581713636595,0.20461023608654214,1.0907479352771174,4300.93994140625,37.51025390625,39.84361369744102,4291.52197265625,4291.52197265625,0.0
2005-01-10,4311.85986328125,4324.3798828125,4291.25,4307.3701171875,4307.3701171875,88288800.0,^GDAXI,1.6159600422706717,0.5871645030936897,1.0287955391769819,4316.39990234375,33.1298828125,38.29486490186606,4294.163330078125,4294.163330078125,0.0
2005-01-11,4305.85986328125,4314.3798828125,4247.77978515625,4258.009765625,4258.009765625,125780700.0,^GDAXI,-0.4423763082395453,0.3266151893948219,-0.7689914976343672,4307.3701171875,66.60009765625,43.92741066061039,4288.99853515625,4288.99853515625,0.0
2005-01-12,4257.64013671875,4258.33984375,4193.240234375,4208.81982421875,4208.81982421875,131373200.0,^GDAXI,-4.1549053942571845,-0.7503784818700099,-3.4045269123871744,4258.009765625,65.099609375,47.66388976510772,4278.9761962890625,4278.9761962890625,0.0
2005-01-13,4218.2099609375,4234.08984375,4200.6201171875,4212.14013671875,4212.14013671875,115748800.0,^GDAXI,-6.497810529607705,-2.0780637980548375,-4.419746731552867,4208.81982421875,33.4697265625,45.39703485214803,4271.549967447917,4271.549967447917,0.0
2005-01-14,4191.14013671875,4236.08984375,4191.14013671875,4232.35986328125,4232.35986328125,93131000.0,^GDAXI,-7.023763953196976,-3.18618773030668,-3.8375762228902963,4212.14013671875,44.94970703125,45.33138990706444,4267.63095703125,4267.63095703125,0.0
2005-01-17,4235.93994140625,4254.3798828125,4235.93994140625,4245.509765625,4245.509765625,67385300.0,^GDAXI,-6.604755160430614,-3.9341507505420306,-2.670604409888583,4232.35986328125,22.02001953125,42.15008528225814,4263.028955078125,4265.619939630682,-2.5909845525566197
2005-01-18,4239.5400390625,4256.22021484375,4207.740234375,4250.7099609375,4250.7099609375,92211500.0,^GDAXI,-5.922050794330062,-4.361068310638903,-1.5609824836911583,4245.509765625,48.47998046875,42.961172273821006,4259.049951171875,4264.37744140625,-5.327490234374636
2005-01-19,4259.669921875,4269.72998046875,4241.0400390625,4245.5498046875,4245.5498046875,117149300.0,^GDAXI,-5.628668094391287,-4.6293364651518285,-0.9993316292394585,4250.7099609375,28.68994140625,41.23064830709765,4257.780908203125,4262.929161658654,-5.148253455528902
2005-01-20,4230.740234375,4230.740234375,4198.93994140625,4220.43017578125,4220.43017578125,99508500.0,^GDAXI,-6.791800093695201,-5.081725469691268,-1.7100746240039335,4245.5498046875,46.60986328125,41.85196879748611,4249.729931640625,4259.893519810268,-10.163588169642935
2005-01-21,4213.27978515625,4221.830078125,4198.33984375,4213.7001953125,4213.7001953125,126657300.0,^GDAXI,-7.981687333221089,-5.682868689107864,-2.298818644113225,4220.43017578125,23.490234375,39.820647463814275,4239.4599609375,4256.81396484375,-17.35400390625
2005-01-24,4195.3701171875,4201.89013671875,4160.830078125,4201.89013671875,4201.89013671875,118396800.0,^GDAXI,-9.500521452267094,-6.468513167876125,-3.032008284390969,4213.7001953125,52.8701171875,41.20982869496114,4228.911962890625,4253.3812255859375,-24.469262695312864
2005-01-25,4193.5400390625,4241.33984375,4189.509765625,4233.9501953125,4233.9501953125,101302700.0,^GDAXI,-8.556921147839603,-6.895816785944351,-1.6611043618952515,4201.89013671875,51.830078125,42.30214727930436,4226.506005859375,4252.238223805147,-25.73221794577148
2005-01-26,4235.7998046875,4245.080078125,4211.60986328125,4214.1201171875,4214.1201171875,141212200.0,^GDAXI,-8.97951293679489,-7.320201043246653,-1.659311893548237,4233.9501953125,33.47021484375,41.42143679609732,4227.03603515625,4250.120551215277,-23.08451605902701
2005-01-27,4209.93017578125,4224.2998046875,4185.6298828125,4216.41015625,4216.41015625,146152200.0,^GDAXI,-9.048155737001252,-7.670845298273666,-1.3773104387275863,4214.1201171875,38.669921875,41.15460747334301,4227.463037109375,4248.346319901316,-20.883282791940474
2005-01-28,4225.35986328125,4235.33984375,4188.2099609375,4201.81005859375,4201.81005859375,89119000.0,^GDAXI,-9.94357348763333,-8.13069261474556,-1.8128808728877708,4216.41015625,47.1298828125,41.719627834401166,4224.408056640625,4246.019506835937,-21.6114501953125
2005-01-31,4211.85986328125,4258.41015625,4211.85986328125,4254.85009765625,4254.85009765625,114619100.0,^GDAXI,-7.007128852945243,-7.903887958662754,0.8967591057175106,4201.81005859375,56.60009765625,43.09490905559429,4225.34208984375,4246.440011160715,-21.097921316964857
2005-02-01,4256.64990234375,4281.0498046875,4249.68994140625,4279.97021484375,4279.97021484375,94737500.0,^GDAXI,-2.965245557919843,-6.908817151911226,3.9435715939913827,4254.85009765625,31.35986328125,42.032634558195475,4228.268115234375,4247.964111328125,-19.695996093750182
2005-02-02,4282.5498046875,4300.0498046875,4279.89990234375,4296.31005859375,4296.31005859375,107196800.0,^GDAXI,1.314675310720304,-5.254352423408707,6.569027734129011,4279.97021484375,20.14990234375,40.08888769724815,4233.344140625,4250.066109035326,-16.721968410325644
2005-02-03,4297.16015625,4302.39990234375,4273.419921875,4281.64013671875,4281.64013671875,96153600.0,^GDAXI,3.614766073217652,-3.4721123332170882,7.0868784064347405,4296.31005859375,28.97998046875,39.119005397780434,4239.46513671875,4251.381693522136,-11.916556803385902
2005-02-04,4295.39013671875,4340.27001953125,4295.25,4339.27978515625,4339.27978515625,98020900.0,^GDAXI,9.36717430333647,-0.8945171265380357,10.261691429874505,4281.64013671875,58.6298828125,40.79581160583661,4252.023095703125,4254.8976171875,-2.8745214843747817
2005-02-07,4342.75,4373.89990234375,4342.75,4366.35009765625,4366.35009765625,90195200.0,^GDAXI,15.63614009664434,2.4216367782918504,13.21450331835249,4339.27978515625,34.6201171875,40.27265222259068,4268.469091796875,4259.184251051683,9.284840745192014
2005-02-08,4369.06982421875,4376.60009765625,4356.4501953125,4371.39013671875,4371.39013671875,83095700.0,^GDAXI,20.695085980295516,6.085184533638242,14.609901446657275,4366.35009765625,20.14990234375,38.590348775017254,4282.2130859375,4263.340024594908,18.873061342592337
2005-02-09,4373.47998046875,4387.22021484375,4344.4599609375,4353.14990234375,4353.14990234375,115269900.0,^GDAXI,23.094226785694445,9.493585790903104,13.600640994791341,4371.39013671875,42.76025390625,38.934768662360945,4296.116064453125,4266.547520228794,29.568544224330253
2005-02-10,4362.5400390625,4367.91015625,4338.9599609375,4342.009765625,4342.009765625,102122100.0,^GDAXI,23.894490406609293,12.378230485502538,11.516259921106755,4353.14990234375,28.9501953125,38.119185524287545,4308.676025390625,4269.149666621767,39.52635876885779
2005-02-11,4355.22021484375,4391.7900390625,4355.22021484375,4387.7998046875,4387.7998046875,92507000.0,^GDAXI,27.56762959475782,15.4198756817273,12.147753913030519,4342.009765625,49.7802734375,39.062043899930465,4327.275,4273.104671223959,54.17032877604106
2005-02-14,4395.3701171875,4398.7900390625,4372.52001953125,4386.39990234375,4386.39990234375,85523900.0,^GDAXI,30.01467369893635,18.34172894848738,11.67294475044897,4387.7998046875,26.27001953125,38.037402357353,4340.42998046875,4276.759356098791,63.670624369959114
2005-02-15,4386.330078125,4409.08984375,4377.2998046875,4402.02978515625,4402.02978515625,87014400.0,^GDAXI,32.72996438783048,21.22165775102797,11.508306636802509,4386.39990234375,31.7900390625,37.54129038136528,4352.6359375,4280.674057006836,71.96188049316424
